Date,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
8/23/2013,2013,8,23,‡,25.6,,9.8,,17.7,,0.3,,0,,0,T,0,,0,T,,,21,,52,
8/24/2013,2013,8,24,‡,27.1,,11.9,,19.5,,0,,1.5,,0,,0,,0,,,,28,,57,
8/25/2013,2013,8,25,‡,26.4,,10.7,,18.6,,0,,0.6,,0,,0,,0,,,,17,,33,
8/26/2013,2013,8,26,‡,25.6,,11.7,,18.7,,0,,0.7,,0.4,,0,,0.4,,,,27,,48,
8/27/2013,2013,8,27,‡,26.6,,8.5,,17.6,,0.4,,0,,0,,0,,0,,,,20,,35,
8/28/2013,2013,8,28,‡,27.5,,7.9,,17.7,,0.3,,0,,0,,0,,0,,,,16,,52,
8/29/2013,2013,8,29,‡,,,,,,,,,,,,,,,,,,,,,,
8/30/2013,2013,8,30,‡,25.8,,10.4,,18.1,,0,,0.1,,0.4,,0,,0.4,,,,28,,87,
8/31/2013,2013,8,31,‡,22.9,,5.8,,14.4,,3.6,,0,,0,,0,,0,,,,31,,33,
9/1/2013,2013,9,1,‡,27.8,,6.3,,17.1,,0.9,,0,,0,,0,,0,,,,19,,32,
9/2/2013,2013,9,2,‡,27.9,,9.8,,18.9,,0,,0.9,,0,,0,,0,,,,,,<31,
9/3/2013,2013,9,3,‡,23.6,,11.3,,17.5,,0.5,,0,,0,,0,,0,,,,18,,39,
9/4/2013,2013,9,4,‡,30.1,,11.3,,20.7,,0,,2.7,,0,,0,,0,,,,20,,41,
9/5/2013,2013,9,5,‡,29.2,,11.7,,20.5,,0,,2.5,,0,T,0,,0,T,,,4,,37,
9/6/2013,2013,9,6,‡,20.5,,13.2,,16.9,,1.1,,0,,15,,0,,15,,,,4,,37,
9/7/2013,2013,9,7,‡,14,,12.4,,13.2,,4.8,,0,,20,,0,,20,,,,,,<31,
9/8/2013,2013,9,8,‡,22,,11.5,,16.8,,1.2,,0,,1,,0,,1,,,,31,,32,
9/9/2013,2013,9,9,‡,24.5,,11.8,,18.2,,0,,0.2,,0,,0,,0,,,,33,,39,
9/10/2013,2013,9,10,‡,23.9,,7.8,,15.9,,2.1,,0,,0,,0,,0,,,,20,,39,
9/11/2013,2013,9,11,‡,25,,7.4,,16.2,,1.8,,0,,0,,0,,0,,,,18,,37,
9/12/2013,2013,9,12,‡,28.8,,9.4,,19.1,,0,,1.1,,0,,0,,0,,,,17,,50,
9/13/2013,2013,9,13,‡,27.5,,11,,19.3,,0,,1.3,,0,,0,,0,,,,33,,56,
9/14/2013,2013,9,14,‡,23.7,,11.6,,17.7,,0.3,,0,,0,,0,,0,,,,15,,46,
9/15/2013,2013,9,15,‡,25.8,,10,,17.9,,0.1,,0,,0,,0,,0,,,,14,,59,
9/16/2013,2013,9,16,‡,26.8,,11,,18.9,,0,,0.9,,0,,0,,0,,,,28,,82,
9/17/2013,2013,9,17,‡,21.1,,9.5,,15.3,,2.7,,0,,3.8,,0,,3.8,,,,1,,48,
9/18/2013,2013,9,18,‡,11,,6,,8.5,,9.5,,0,,16.2,,0,,16.2,,,,2,,39,
9/19/2013,2013,9,19,‡,17.6,,4.6,,11.1,,6.9,,0,,0,,0,,0,,,,17,,35,
9/20/2013,2013,9,20,‡,22.6,,4.1,,13.4,,4.6,,0,,0,,0,,0,,,,,,<31,
9/21/2013,2013,9,21,‡,24,,5.5,,14.8,,3.2,,0,,0,,0,,0,,,,21,,63,
9/22/2013,2013,9,22,‡,20.1,,3.8,,12,,6,,0,,0,T,0,,0,T,,,26,,39,
9/23/2013,2013,9,23,‡,17.6,,5.3,,11.5,,6.5,,0,,0,,0,,0,,,,27,,59,
9/24/2013,2013,9,24,‡,14.4,,3.9,,9.2,,8.8,,0,,0,,0,,0,,,,27,,37,
9/25/2013,2013,9,25,‡,11.3,,1.6,,6.5,,11.5,,0,,0,,0,,0,,,,34,,50,
9/26/2013,2013,9,26,‡,10.6,,0.6,,5.6,,12.4,,0,,0,,0,,0,,,,33,,37,
9/27/2013,2013,9,27,‡,14.1,,-0.3,,6.9,,11.1,,0,,0,,0,,0,,,,27,,52,
9/28/2013,2013,9,28,‡,16,,-0.3,,7.9,,10.1,,0,,0,,0,,0,,,,20,,48,
9/29/2013,2013,9,29,‡,16,,3.6,,9.8,,8.2,,0,,0,,0,,0,,,,27,,80,
9/30/2013,2013,9,30,‡,14.3,,2.2,,8.3,,9.7,,0,,0,,0,,0,,,,26,,72,
10/1/2013,2013,10,1,‡,13.4,,0.5,,7,,11,,0,,0,,0,,0,,,,26,,52,
10/2/2013,2013,10,2,‡,10.1,,-2.3,,3.9,,14.1,,0,,0,,0,,0,,,,34,,44,
10/3/2013,2013,10,3,‡,8.9,,-2.2,,3.4,,14.6,,0,,0.3,,0,,0.3,,,,35,,33,
10/4/2013,2013,10,4,‡,14.4,,-4,,5.2,,12.8,,0,,0,,0,,0,,,,19,,35,
10/5/2013,2013,10,5,‡,14.9,,4,,9.5,,8.5,,0,,0,,0,,0,,,,27,,63,
10/6/2013,2013,10,6,‡,17.8,,3.2,,10.5,,7.5,,0,,0,,0,,0,,,,25,,32,
10/7/2013,2013,10,7,‡,17.9,,5.6,,11.8,,6.2,,0,,0,,0,,0,,,,28,,61,
10/8/2013,2013,10,8,‡,11.5,,0.1,,5.8,,12.2,,0,,0,T,0,,0,T,,,27,,48,
10/9/2013,2013,10,9,‡,14.4,,-2.3,,6.1,,11.9,,0,,0,,0,,0,,,,20,,39,
10/10/2013,2013,10,10,‡,12.4,,2.6,,7.5,,10.5,,0,,13.8,,0,,13.8,,,,4,,54,
10/11/2013,2013,10,11,‡,8.3,,-1,,3.7,,14.3,,0,,0,,0,,0,,,,,,<31,
10/12/2013,2013,10,12,‡,8.2,,0.4,,4.3,,13.7,,0,,0,,0,,0,,,,,,<31,
10/13/2013,2013,10,13,‡,8.9,,0.8,,4.9,,13.1,,0,,0,,0,,0,,,,,,<31,
10/14/2013,2013,10,14,‡,11.1,,-3.3,,3.9,,14.1,,0,,0,,0,,0,,,,,,<31,
10/15/2013,2013,10,15,‡,16.6,,-2.3,,7.2,,10.8,,0,,0,T,0,,0,T,,,35,,37,
10/16/2013,2013,10,16,‡,,,,,,,,,,,,,,,,,,,,,,
10/17/2013,2013,10,17,‡,9.8,,-1.2,,4.3,,13.7,,0,,0,,0,,0,,,,34,,70,
10/18/2013,2013,10,18,‡,17,,-2.1,,7.5,,10.5,,0,,0,,0,,0,,,,28,,41,
10/19/2013,2013,10,19,‡,13.1,,3.8,,8.5,,9.5,,0,,0,,0,,0,,,,34,,57,
10/20/2013,2013,10,20,‡,13.9,,-0.6,,6.7,,11.3,,0,,0,,0,,0,,,,34,,46,
10/21/2013,2013,10,21,‡,,,,,,,,,,,,,,,,,,,,,,
10/22/2013,2013,10,22,‡,15.7,,0.9,,8.3,,9.7,,0,,0,,0,,0,,,,3,,35,
10/23/2013,2013,10,23,‡,,,,,,,,,,,,,,,,,,,,,,
10/24/2013,2013,10,24,‡,21.9,,-0.7,,10.6,,7.4,,0,,0,,0,,0,,,,27,,39,
10/25/2013,2013,10,25,‡,13.4,,1.5,,7.5,,10.5,,0,,0,,0,,0,,,,,,<31,
10/26/2013,2013,10,26,‡,20.3,,0.1,,10.2,,7.8,,0,,0,,0,,0,,,,29,,39,
10/27/2013,2013,10,27,‡,8.5,,-6.8,,0.9,,17.1,,0,,5.2,,4.4,,9.2,,4,,3,,57,
10/28/2013,2013,10,28,‡,-5.9,,-11.2,,-8.6,,26.6,,0,,0,,0,T,0,T,4,,18,,33,
10/29/2013,2013,10,29,‡,2.9,,-10.4,,-3.8,,21.8,,0,,0,,0,,0,,4,,,,<31,
10/30/2013,2013,10,30,‡,7.8,,-1.9,,3,,15,,0,,0,,0,,0,,3,,,,<31,
10/31/2013,2013,10,31,‡,11.8,,0.2,,6,,12,,0,,0,,0,,0,,1,,27,,61,
11/1/2013,2013,11,1,‡,10.6,,2.4,,6.5,,11.5,,0,,0,,0,,0,,1,,26,,46,
11/2/2013,2013,11,2,‡,4.1,,-2,,1.1,,16.9,,0,,0.5,,15.5,,6.2,,5,,32,,37,
11/3/2013,2013,11,3,‡,-1.3,,-7.3,,-4.3,,22.3,,0,,0,,1.6,,0.4,,2,,32,,59,
11/4/2013,2013,11,4,‡,-3.5,,-9.4,,-6.5,,24.5,,0,,1.1,,0,,1.1,,4,,,,<31,
11/5/2013,2013,11,5,‡,1.7,,-13.1,,-5.7,,23.7,,0,,0,,0,,0,,4,,,,<31,
11/6/2013,2013,11,6,‡,4.3,,-4.4,,-0.1,,18.1,,0,,0,,0,,0,,3,,27,,35,
11/7/2013,2013,11,7,‡,1.3,,-7,,-2.9,,20.9,,0,,0,,0,,0,,2,,,,<31,
11/8/2013,2013,11,8,‡,5.1,,-5,,0.1,,17.9,,0,,0.8,,1,,1,,2,,34,,50,
11/9/2013,2013,11,9,‡,4.8,,-9,,-2.1,,20.1,,0,,0,,0,T,0,T,1,,35,,39,
11/10/2013,2013,11,10,‡,-6.6,,-11,,-8.8,,26.8,,0,,0,,2.2,,1.6,,1,,,,<31,
11/11/2013,2013,11,11,‡,1.6,,-13.8,,-6.1,,24.1,,0,,0,,0,,0,,3,,,,<31,
11/12/2013,2013,11,12,‡,10.8,,-5.7,,2.6,,15.4,,0,,0,,0,,0,,3,,27,,56,
11/13/2013,2013,11,13,‡,8.3,,2.9,,5.6,,12.4,,0,,0,,0,,0,,1,,27,,56,
11/14/2013,2013,11,14,‡,7.4,,-3.5,,2,,16,,0,,0,,0,,0,,1,,27,,52,
11/15/2013,2013,11,15,‡,4.6,,-3.8,,0.4,,17.6,,0,,0,,0.2,,0,T,1,,28,,54,
11/16/2013,2013,11,16,‡,-2.5,,-13.1,,-7.8,,25.8,,0,,0,,6.9,,1,,0,,35,,78,
11/17/2013,2013,11,17,‡,-10.6,,-20.8,,-15.7,,33.7,,0,,0,,0.4,,0,T,2,,,,<31,
11/18/2013,2013,11,18,‡,-9.2,,-15.9,,-12.6,,30.6,,0,,0,,0,T,0,T,3,,36,,44,
11/19/2013,2013,11,19,‡,-14.4,,-18.5,,-16.5,,34.5,,0,,1,,0,T,1,,3,,34,,43,
11/20/2013,2013,11,20,‡,-9.4,,-22.3,,-15.9,,33.9,,0,,0,,0,T,0,T,4,,26,,35,
11/21/2013,2013,11,21,‡,-0.2,,-12.9,,-6.6,,24.6,,0,,0,T,0,,0,T,2,,25,,65,
11/22/2013,2013,11,22,‡,-6.8,,-17.3,,-12.1,,30.1,,0,,0,,0,T,0,T,2,,,,<31,
11/23/2013,2013,11,23,‡,10.5,,-10.8,,-0.2,,18.2,,0,,0,,0,,0,,1,,27,,57,
11/24/2013,2013,11,24,‡,9.7,,-3.3,,3.2,,14.8,,0,,0,,0,,0,,1,,27,,56,
11/25/2013,2013,11,25,‡,2,,-7.1,,-2.6,,20.6,,0,,0,,0,,0,,0,,,,<31,
11/26/2013,2013,11,26,‡,10.2,,-5.6,,2.3,,15.7,,0,,0,,0,,0,,0,,29,,43,
11/27/2013,2013,11,27,‡,3.3,,-7,,-1.9,,19.9,,0,,0,,0,,0,,0,,,,<31,
11/28/2013,2013,11,28,‡,9.2,,-7.7,,0.8,,17.2,,0,,0,,0,,0,,0,,27,,44,
11/29/2013,2013,11,29,‡,7.9,,-1,,3.5,,14.5,,0,,0,,0,,0,,0,,26,,39,
11/30/2013,2013,11,30,‡,6.4,,-5.1,,0.7,,17.3,,0,,0,,0,,0,,0,,29,,41,
12/1/2013,2013,12,1,‡,4.7,,-4.7,,0,,18,,0,,0,,0,T,0,T,0,,,,<31,
12/2/2013,2013,12,2,‡,-3.2,,-15.2,,-9.2,,27.2,,0,,0,,14,,13.6,,1,,33,,74,
12/3/2013,2013,12,3,‡,-13.7,,-17.3,,-15.5,,33.5,,0,,0,,1,,0.8,,15,,33,,63,
12/4/2013,2013,12,4,‡,-15.7,,-22.3,,-19,,37,,0,,0,,0,T,0,T,15,,36,,46,
12/5/2013,2013,12,5,‡,-19.8,,-26.2,,-23,,41,,0,,0,,0.4,,0.2,,13,,33,,33,
12/6/2013,2013,12,6,‡,-24.7,,-29.2,,-27,,45,,0,,0,,0,T,0,T,12,,,,<31,
12/7/2013,2013,12,7,‡,-12.2,,-30.1,,-21.2,,39.2,,0,,0,,0,T,0,T,12,,,,<31,
12/8/2013,2013,12,8,‡,-11.9,,-16.1,,-14,,32,,0,,0,,3,,2.2,,12,,35,,46,
12/9/2013,2013,12,9,‡,-2.8,,-12.8,,-7.8,,25.8,,0,,0,,4,,2.8,,16,,28,,48,
12/10/2013,2013,12,10,‡,-7,,-17.8,,-12.4,,30.4,,0,,0,,3.4,,2.2,,21,,3,,48,
12/11/2013,2013,12,11,‡,2.2,,-17.2,,-7.5,,25.5,,0,,0,,0,T,0,T,22,,27,,54,
12/12/2013,2013,12,12,‡,3.5,,-17.1,,-6.8,,24.8,,0,,0,,0,T,0,T,21,,25,,50,
12/13/2013,2013,12,13,‡,-6.8,,-18.6,,-12.7,,30.7,,0,,0,,0,T,0,T,21,,1,,61,
12/14/2013,2013,12,14,‡,7.8,,-16,,-4.1,,22.1,,0,,0,,0,T,0,T,18,,26,,70,
12/15/2013,2013,12,15,‡,8.7,,-1.5,,3.6,,14.4,,0,,0,,4,,2.4,,12,,26,,78,
12/16/2013,2013,12,16,‡,-0.5,,-8.6,,-4.6,,22.6,,0,,0,,5,,2.6,,18,,20,,48,
12/17/2013,2013,12,17,‡,9,,-9.2,,-0.1,,18.1,,0,,0,,0,,0,,14,,28,,56,
12/18/2013,2013,12,18,‡,3,,-16.7,,-6.9,,24.9,,0,,0,,10.6,,5.4,,9,,1,,57,
12/19/2013,2013,12,19,‡,-7.5,,-22.4,,-15,,33,,0,,0,,0,T,0,T,19,,,,<31,
12/20/2013,2013,12,20,‡,-5.9,,-18,,-12,,30,,0,,0,,0,T,0,T,17,,,,<31,
12/21/2013,2013,12,21,‡,-11.1,,-18.7,,-14.9,,32.9,,0,,0,,1,,0.5,,16,,35,,32,
12/22/2013,2013,12,22,‡,-11.1,,-20.4,,-15.8,,33.8,,0,,0,,1,,0.6,,17,,17,,32,
12/23/2013,2013,12,23,‡,6.5,,-19.1,,-6.3,,24.3,,0,,0,,0,T,0,T,18,,24,,59,
12/24/2013,2013,12,24,‡,,M,-5.9,E,,M,,M,,M,,M,,,,M,15,,,M,,M
12/25/2013,2013,12,25,‡,6.5,,-10.1,,-1.8,,19.8,,0,,0,,0,,0,,12,,26,,63,
12/26/2013,2013,12,26,‡,9.4,,3.2,,6.3,,11.7,,0,,0,,0,,0,,7,,27,,56,
12/27/2013,2013,12,27,‡,10.6,E,3.3,E,7,E,11,E,0,E,,M,,M,0,E,4,,,M,,M
12/28/2013,2013,12,28,‡,-13,,-18.6,,-15.8,,33.8,,0,,0,,1,,0.7,,2,,35,,70,
12/29/2013,2013,12,29,‡,0.3,,-14.2,,-7,,25,,0,,0,,0,T,0,T,3,,35,,46,
12/30/2013,2013,12,30,‡,-5.2,,-17.3,,-11.3,,29.3,,0,,0,,0,T,0,T,3,,2,,46,
12/31/2013,2013,12,31,‡,-2.7,,-18.4,,-10.6,,28.6,,0,,0,,4,,3,,4,,,,<31,
1/1/2014,2014,1,1,‡,-0.6,,-9.7,,-5.2,,23.2,,0,,0,,1,,0.8,,9,,,,<31,
1/2/2014,2014,1,2,‡,8.5,,-10,,-0.8,,18.8,,0,,0,,0,,0,,11,,27,,52,
1/3/2014,2014,1,3,‡,3,,-11,,-4,,22,,0,,0,,7.8,,5.8,,8,,36,,54,
1/4/2014,2014,1,4,‡,-11,,-21.9,,-16.5,,34.5,,0,,0,,1,,0.2,,14,,35,,44,
1/5/2014,2014,1,5,‡,-14.4,,-25.5,,-20,,38,,0,,0,T,0,,0,T,14,,36,,52,
1/6/2014,2014,1,6,‡,3.4,,-14.8,,-5.7,,23.7,,0,,0,,0,,0,,10,,29,,33,
1/7/2014,2014,1,7,‡,-3,,-9.9,,-6.5,,24.5,,0,,0,,0,T,0,T,8,,18,,32,
1/8/2014,2014,1,8,‡,5.8,,-11.4,,-2.8,,20.8,,0,,0,,0,T,0,T,8,,28,,50,
1/9/2014,2014,1,9,‡,4.6,,-6.8,,-1.1,,19.1,,0,,0,,0,,0,,7,,27,,59,
1/10/2014,2014,1,10,‡,2.2,,-7.7,,-2.8,,20.8,,0,,0,,0,,0,,,,27,,44,
1/11/2014,2014,1,11,‡,7.8,,-9.9,,-1.1,,19.1,,0,,0,,0,T,0,T,4,,27,,83,
1/12/2014,2014,1,12,‡,2.5,,-8.3,,-2.9,,20.9,,0,,0,,2.9,,1.2,,4,,25,,59,
1/13/2014,2014,1,13,‡,6,,-5.9,,0.1,,17.9,,0,,0,,2.8,,2.6,,8,,,M,87,
1/14/2014,2014,1,14,‡,8.6,,-8.3,,0.2,,17.8,,0,,0,,0,,0,,8,,26,,76,
1/15/2014,2014,1,15,‡,9,,-0.3,,4.4,,13.6,,0,,0,,0,,0,,3,,25,,67,
1/16/2014,2014,1,16,‡,9.1,,-3.3,,2.9,,15.1,,0,,0,,0,,0,,2,,21,,32,
1/17/2014,2014,1,17,‡,9.8,,-0.5,,4.7,,13.3,,0,,0,,0,,0,,2,,28,,48,
1/18/2014,2014,1,18,‡,12.8,,-4.2,,4.3,,13.7,,0,,0,,0,,0,,0,,25,,50,
1/19/2014,2014,1,19,‡,6.6,,-2,,2.3,,15.7,,0,,0,,0,,0,,0,,35,,39,
1/20/2014,2014,1,20,‡,4.2,,-7.6,,-1.7,,19.7,,0,,0,,0,,0,,0,,32,,43,
1/21/2014,2014,1,21,‡,2.6,,-5.4,,-1.4,,19.4,,0,,0,T,0,,0,T,0,,,,<31,
1/22/2014,2014,1,22,‡,-0.9,,-8.2,,-4.6,,22.6,,0,,0,,1.2,,1.2,,1,,,,<31,
1/23/2014,2014,1,23,‡,8.9,,-5.5,,1.7,,16.3,,0,,0,T,0,,0,T,1,,,,<31,
1/24/2014,2014,1,24,‡,12.4,,0.9,,6.7,,11.3,,0,,0,,0,,0,,0,,30,,32,
1/25/2014,2014,1,25,‡,11.2,,0.5,,5.9,,12.1,,0,,0,,0,,0,,0,,33,,56,
1/26/2014,2014,1,26,‡,3.5,,-12.4,,-4.5,,22.5,,0,,0,,0,T,0,T,0,,36,,78,
1/27/2014,2014,1,27,‡,-7.6,,-14.7,,-11.2,,29.2,,0,,0,,0,,0,,0,,,,<31,
1/28/2014,2014,1,28,‡,6.3,,-12.5,,-3.1,,21.1,,0,,0,,0,,0,,0,,27,,44,
1/29/2014,2014,1,29,‡,2.8,,-13.2,,-5.2,,23.2,,0,,0,,6.4,,3.2,,0,,1,,43,
1/30/2014,2014,1,30,‡,-11.9,,-17.4,,-14.7,,32.7,,0,,0,,0,T,0,T,5,,36,,46,
1/31/2014,2014,1,31,‡,-7.2,,-19.2,,-13.2,,31.2,,0,,0,,0.2,,0.2,,5,,1,,50,
2/1/2014,2014,2,1,‡,-7.5,,-17.5,,-12.5,,30.5,,0,,0,,0,,0,,3,,,,<31,
2/2/2014,2014,2,2,‡,-8.4,,-15.5,,-12,,30,,0,,0,,0,T,0,T,0,,33,,39,
2/3/2014,2014,2,3,‡,-12.1,,-20.9,,-16.5,,34.5,,0,,0,,3,,1.7,,0,,3,,50,
2/4/2014,2014,2,4,‡,-20.2,,-23.1,,-21.7,,39.7,,0,,0,,0.2,,0.2,,8,,36,,37,
2/5/2014,2014,2,5,‡,-20.2,,-28.2,,-24.2,,42.2,,0,,0,,0,T,0,T,4,,,,<31,
2/6/2014,2014,2,6,‡,-9.7,,-25.4,,-17.6,,35.6,,0,,0,,0,,0,,4,,,,<31,
2/7/2014,2014,2,7,‡,-12.8,,-21.6,,-17.2,,35.2,,0,,0,,0,T,0,T,3,,,M,37,
2/8/2014,2014,2,8,‡,-15.3,,-24.2,,-19.8,,37.8,,0,,0,,1.2,,1.2,,3,,,,<31,
2/9/2014,2014,2,9,‡,-18.5,,-25.7,,-22.1,,40.1,,0,,0,,0,T,0,T,4,,17,,33,
2/10/2014,2014,2,10,‡,-14,,-26.9,,-20.5,,38.5,,0,,0,,0,T,0,T,4,,,M,52,
2/11/2014,2014,2,11,‡,-16.8,,-21.7,,-19.3,,37.3,,0,,0,,0,T,0,T,4,,36,,41,
2/12/2014,2014,2,12,‡,-3.7,,-21.1,,-12.4,,30.4,,0,,0,,0,T,0,T,3,,36,,48,
2/13/2014,2014,2,13,‡,5.9,,-12.1,,-3.1,,21.1,,0,,0,,0,,0,,4,,28,,56,
2/14/2014,2014,2,14,‡,4.6,,-7.6,,-1.5,,19.5,,0,,0,,0,,0,,2,,26,,54,
2/15/2014,2014,2,15,‡,4.7,,-6.9,,-1.1,,19.1,,0,,0,,0,,0,,1,,,,<31,
2/16/2014,2014,2,16,‡,3.8,,-7,,-1.6,,19.6,,0,,0,,0,,0,,1,,25,,85,
2/17/2014,2014,2,17,‡,4.7,,-4.3,,0.2,,17.8,,0,,0,,0,,0,,0,,24,,59,
2/18/2014,2014,2,18,‡,3.4,,-5.6,,-1.1,,19.1,,0,,0,,0,,0,,0,,25,,57,
2/19/2014,2014,2,19,‡,0.9,,-6.2,,-2.7,,20.7,,0,,0,,0,T,0,T,0,,34,,54,
2/20/2014,2014,2,20,‡,2.6,,-7.4,,-2.4,,20.4,,0,,0,,0,,0,,0,,27,,35,
2/21/2014,2014,2,21,‡,-2.7,,-13.4,,-8.1,,26.1,,0,,0,,0,,0,,0,,34,,48,
2/22/2014,2014,2,22,‡,-12.5,,-18,,-15.3,,33.3,,0,,0,,1.2,,0.6,,0,,,,<31,
2/23/2014,2014,2,23,‡,-17.8,,-24,,-20.9,,38.9,,0,,0,,0.8,,0.5,,1,,2,,32,
2/24/2014,2014,2,24,‡,-9.8,,-27.7,,-18.8,,36.8,,0,,0,,0,T,0,T,2,,,,<31,
2/25/2014,2014,2,25,‡,-6.5,,-21.9,,-14.2,,32.2,,0,,0,,0,,0,,1,,,,<31,
2/26/2014,2014,2,26,‡,1.3,,-11.8,,-5.3,,23.3,,0,,0,,0,,0,,1,,,,<31,
2/27/2014,2014,2,27,‡,-1.4,,-14.5,,-8,,26,,0,,0,,0,,0,,1,,1,,63,
2/28/2014,2014,2,28,‡,-14.2,,-27.7,,-21,,39,,0,,0,,0,T,0,T,0,,1,,65,
3/1/2014,2014,3,1,‡,-25.4,,-30.4,,-27.9,,45.9,,0,,0,,0,T,0,T,0,,15,,33,
3/2/2014,2014,3,2,‡,-21.9,,-30.3,,-26.1,,44.1,,0,,0,,0.2,,0,T,0,,13,,43,
3/3/2014,2014,3,3,‡,-18.8,,-23.9,,-21.4,,39.4,,0,,0,,0,T,0,T,1,,15,,33,
3/4/2014,2014,3,4,‡,-14.9,,-20.8,,-17.9,,35.9,,0,,0,,0.2,,0.2,,1,,,,<31,
3/5/2014,2014,3,5,‡,-14.4,,-20.9,,-17.7,,35.7,,0,,0,,0.2,,0.2,,1,,,,<31,
3/6/2014,2014,3,6,‡,-13.6,,-18.5,,-16.1,,34.1,,0,,0,,0.4,,0.4,,1,,,,<31,
3/7/2014,2014,3,7,‡,-0.7,,-17.8,,-9.3,,27.3,,0,,0,,0,T,0,T,1,,,,<31,
3/8/2014,2014,3,8,‡,12.4,,-4.5,,4,,14,,0,,0,,0,,0,,1,,23,,59,
3/9/2014,2014,3,9,‡,11.6,,-1.8,,4.9,,13.1,,0,,0,,0,,0,,0,,28,,54,
3/10/2014,2014,3,10,‡,5.8,,-2.3,,1.8,,16.2,,0,,0,,0,,0,,0,,,,<31,
3/11/2014,2014,3,11,‡,8.4,,-5.1,,1.7,,16.3,,0,,0,,0,,0,,0,,26,,44,
3/12/2014,2014,3,12,‡,14.7,,4.7,,9.7,,8.3,,0,,0,,0,,0,,0,,25,,61,
3/13/2014,2014,3,13,‡,7,,-1.9,,2.6,,15.4,,0,,0,,0,T,0,T,0,,33,,41,
3/14/2014,2014,3,14,‡,8.3,,-3.2,,2.6,,15.4,,0,,0,,0.2,,0.2,,0,,34,,35,
3/15/2014,2014,3,15,‡,9.6,,-3.9,,2.9,,15.1,,0,,0,,0.4,,0.4,,0,,34,,33,
3/16/2014,2014,3,16,‡,11.9,,-0.3,,5.8,,12.2,,0,,0,,0,,0,,0,,27,,59,
3/17/2014,2014,3,17,‡,6.6,,-0.3,,3.2,,14.8,,0,,0,,0,,0,,0,,34,,44,
3/18/2014,2014,3,18,‡,4.8,,-5,,-0.1,,18.1,,0,,,M,4.6,,1.6,,2,,27,,43,
3/19/2014,2014,3,19,‡,8.5,,-2.2,,3.2,,14.8,,0,,0,,0,,0,,0,,27,,44,
3/20/2014,2014,3,20,‡,2.4,,-10.7,,-4.2,,22.2,,0,,0,,3.5,,2.9,,0,,33,,67,
3/21/2014,2014,3,21,‡,-9.8,,-15.2,,-12.5,,30.5,,0,,0,,0.6,,0.4,,2,,1,,33,
3/22/2014,2014,3,22,‡,-9.6,,-15.7,,-12.7,,30.7,,0,,0,,1.6,,0.8,,2,,15,,39,
3/23/2014,2014,3,23,‡,-7.6,,-14.7,,-11.2,,29.2,,0,,0,,2.8,,1,,5,,,,<31,
3/24/2014,2014,3,24,‡,-7.1,,-12.7,,-9.9,,27.9,,0,,0,,0,T,0,T,3,,,,<31,
3/25/2014,2014,3,25,‡,-5.1,,-10.1,,-7.6,,25.6,,0,,0,,0,T,0,T,2,,,,<31,
3/26/2014,2014,3,26,‡,-7.3,,-11.2,,-9.3,,27.3,,0,,0,,6.7,,2.4,,1,,34,,32,
3/27/2014,2014,3,27,‡,-6.6,E,-10.7,,-8.7,E,26.7,E,0,E,0,,4.6,,1.2,,9,,,,<31,
3/28/2014,2014,3,28,‡,-4.5,,-11,,-7.8,,25.8,,0,,0,,1,,0.4,,11,,17,,37,
3/29/2014,2014,3,29,‡,-4.8,,-12.6,,-8.7,,26.7,,0,,0,,0.4,,0.2,,8,,36,,39,
3/30/2014,2014,3,30,‡,-5.4,,-12.5,,-9,,27,,0,,0,,7.6,,4.4,,8,,,,<31,
3/31/2014,2014,3,31,‡,-9.4,,-14.7,,-12.1,,30.1,,0,,,M,1.2,,0.8,,10,,,,<31,
4/1/2014,2014,4,1,‡,-1,,-11.2,,-6.1,,24.1,,0,,0,,0,T,0,T,10,,,,<31,
4/2/2014,2014,4,2,‡,1.9,,-4.7,,-1.4,,19.4,,0,,0,,0.6,,0.6,,8,,35,,37,
4/3/2014,2014,4,3,‡,-0.5,,-5.5,,-3,,21,,0,,0,,0,,0,,5,,15,,35,
4/4/2014,2014,4,4,‡,11,,-2.9,,4.1,,13.9,,0,,0,,0,,0,,4,,26,,44,
4/5/2014,2014,4,5,‡,10.4,,-1.6,,4.4,,13.6,,0,,0,,0,,0,,0,,27,,46,
4/6/2014,2014,4,6,‡,9.4,,0.5,,5,,13,,0,,0,T,0,,0,T,0,,34,,48,
4/7/2014,2014,4,7,‡,16.6,,-1.1,,7.8,,10.2,,0,,0,,0,,0,,,,26,,57,
4/8/2014,2014,4,8,‡,19.8,,2.9,,11.4,,6.6,,0,,0,,0,,0,,,,24,,69,
4/9/2014,2014,4,9,‡,11.7,,0.3,,6,,12,,0,,0.4,,0.2,,0.6,,0,,26,,69,
4/10/2014,2014,4,10,‡,14.8,,-2.1,,6.4,,11.6,,0,,0,,0,,0,,,,26,,65,
