Date,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
4/27/2013,2013,4,27,‡,,,,,,,,,,,,,,,,,,,,,,
4/28/2013,2013,4,28,‡,16.5,,2.3,,9.4,,8.6,,0,,0,T,0,,0,T,,,36,,57,
4/29/2013,2013,4,29,‡,,,,,,,,,,,,,,,,,,,,,,
4/30/2013,2013,4,30,‡,,,,,,,,,,,,,,,,,,,,,,
5/1/2013,2013,5,1,‡,10.9,,-8.3,,1.3,,16.7,,0,,0,,0,,0,,,,26,,46,
5/2/2013,2013,5,2,‡,19,,0,,9.5,,8.5,,0,,0,,0,,0,,,,26,,46,
5/3/2013,2013,5,3,‡,,,,,,,,,,,,,,,,,,,,,,
5/4/2013,2013,5,4,‡,18.8,,2.6,,10.7,,7.3,,0,,0,,0,,0,,,,16,,32,
5/5/2013,2013,5,5,‡,23.4,,3,,13.2,,4.8,,0,,0,,0,,0,,,,19,,32,
5/6/2013,2013,5,6,‡,27.3,,5.8,,16.6,,1.4,,0,,0,,0,,0,,,,15,,46,
5/7/2013,2013,5,7,‡,16,,7.4,,11.7,,6.3,,0,,0,,0,,0,,,,36,,82,
5/8/2013,2013,5,8,‡,21.1,,4.4,,12.8,,5.2,,0,,0,,0,,0,,,,14,,44,
5/9/2013,2013,5,9,‡,26.3,,5.3,,15.8,,2.2,,0,,0,,0,,0,,,,36,,65,
5/10/2013,2013,5,10,‡,,,,,,,,,,,,,,,,,,,,,,
5/11/2013,2013,5,11,‡,27.4,,5.3,,16.4,,1.6,,0,,0,,0,,0,,,,26,,41,
5/12/2013,2013,5,12,‡,28.6,,14,,21.3,,0,,3.3,,0,,0,,0,,,,29,,65,
5/13/2013,2013,5,13,‡,21.6,,10.3,,16,,2,,0,,0,T,0,,0,T,,,27,,67,
5/14/2013,2013,5,14,‡,15.2,,7.4,,11.3,,6.7,,0,,0,T,0,,0,T,,,27,,56,
5/15/2013,2013,5,15,‡,25.4,,6,,15.7,,2.3,,0,,0,,0,,0,,,,17,,41,
5/16/2013,2013,5,16,‡,,,,,,,,,,,,,,,,,,,,,,
5/17/2013,2013,5,17,‡,17.2,,1,,9.1,,8.9,,0,,0,T,0,,0,T,,,35,,33,
5/18/2013,2013,5,18,‡,20.9,,1.7,E,11.3,E,6.7,E,0,E,,M,,,0.2,E,,,,M,,M
5/19/2013,2013,5,19,‡,16.2,,7.5,,11.9,,6.1,,0,,0.2,,0,,0.2,,,,33,,48,
5/20/2013,2013,5,20,‡,20.1,,3.3,,11.7,,6.3,,0,,0,,0,,0,,,,13,,50,
5/21/2013,2013,5,21,‡,22.4,,5.9,,14.2,,3.8,,0,,0,,0,,0,,,,13,,63,
5/22/2013,2013,5,22,‡,,,,,,,,,,,,,,,,,,,,,,
5/23/2013,2013,5,23,‡,14.1,,6.4,,10.3,,7.7,,0,,23.4,,0,,23.4,,,,14,,59,
5/24/2013,2013,5,24,‡,8,,4.1,,6.1,,11.9,,0,,51.2,,0,,51.2,,,,27,,59,
5/25/2013,2013,5,25,‡,14.9,,3.8,,9.4,,8.6,,0,,8,,0,,8,,,,26,,63,
5/26/2013,2013,5,26,‡,17.9,,1.9,,9.9,,8.1,,0,,0,T,0,,0,T,,,9,,33,
5/27/2013,2013,5,27,‡,19.2,,4.6,,11.9,,6.1,,0,,0.2,,0,,0.2,,,,12,,37,
5/28/2013,2013,5,28,‡,17.2,,7.9,,12.6,,5.4,,0,,1.8,,0,,1.8,,,,15,,41,
5/29/2013,2013,5,29,‡,16.6,,8.5,,12.6,,5.4,,0,,5.6,,0,,5.6,,,,,,<31,
5/30/2013,2013,5,30,‡,12.1,,9.1,,10.6,,7.4,,0,,10.8,,0,,10.8,,,,19,,35,
5/31/2013,2013,5,31,‡,15.7,,8.7,,12.2,,5.8,,0,,3.4,,0,,3.4,,,,35,,35,
